date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:45	38865/38865	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2017:44:44%20GMT	https://www.mischunches.com/es/diseno-sitios-web/plan-diseno-web-una-pagina/	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.mischunches.com/es/diseno-sitios-web/plan-diseno-web-una-pagina/index.html	(from https://www.mischunches.com/)
11:44:45	18931/18931	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Dec%202018%2023:11:06%20GMT	https://www.share.sitiosweb-costarica.com/img/content/pagina-inicio.jpg	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/content/pagina-inicio.jpg	(from https://www.mischunches.com/)
11:44:45	11737/11737	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Dec%202018%2023:11:00%20GMT	https://www.share.sitiosweb-costarica.com/img/content/abogados.jpg	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/content/abogados.jpg	(from https://www.mischunches.com/)
11:44:45	39117/39117	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2017:44:45%20GMT	https://www.mischunches.com/es/diseno-sitios-web/plan-diseno-web-paquetico/	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.mischunches.com/es/diseno-sitios-web/plan-diseno-web-paquetico/index.html	(from https://www.mischunches.com/)
11:44:46	20660/20660	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Dec%202018%2023:11:00%20GMT	https://www.share.sitiosweb-costarica.com/img/content/asociaciones-solidaristas.jpg	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/content/asociaciones-solidaristas.jpg	(from https://www.mischunches.com/)
11:44:46	39053/39053	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2017:44:45%20GMT	https://www.mischunches.com/es/diseno-sitios-web/plan-diseno-web-arenal/	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.mischunches.com/es/diseno-sitios-web/plan-diseno-web-arenal/index.html	(from https://www.mischunches.com/)
11:44:47	22134/22134	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Dec%202018%2023:11:08%20GMT	https://www.share.sitiosweb-costarica.com/img/content/pyme.jpg	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/content/pyme.jpg	(from https://www.mischunches.com/)
11:44:47	1885/1885	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Dec%202018%2023:11:04%20GMT	https://www.share.sitiosweb-costarica.com/img/content/gtmetrix_logo.jpg	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/content/gtmetrix_logo.jpg	(from https://www.mischunches.com/)
11:44:47	38824/38824	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2017:44:46%20GMT	https://www.mischunches.com/es/diseno-sitios-web/plan-diseno-web-poas/	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.mischunches.com/es/diseno-sitios-web/plan-diseno-web-poas/index.html	(from https://www.mischunches.com/)
11:44:47	1250/1250	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Dec%202018%2023:11:09%20GMT	https://www.share.sitiosweb-costarica.com/img/content/w3c.jpg	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/content/w3c.jpg	(from https://www.mischunches.com/)
